DistriktsID;Distrikt
6;Hafnia Distrikt
7;Ole Rømer Distrikt
8;Bornholms Distrikt
9;Ermelunden Distrikt
10;Hjorte Distrikt
11;Suså Distrikt
12;Lindorm Distrikt
13;Sct. Georg Distrikt
14;Odsherred Distrikt
15;Valdemar Distrikt
16;Danehof Distrikt
17;Nydam Distrikt
18;Fionia Distrikt
19;Guldhorn Distrikt
20;Hærulf Distrikt
21;Kongeå Distrikt
22;Ho Bugt Distrikt
23;Skamling Distrikt
24;Hærvejens Distrikt
25;Lyngens Distrikt
26;Munkebjerg Distrikt
27;Lovring Distrikt
28;Lundenæs Len Distrikt
29;Gudenå Distrikt
30;Marselis Distrikt
31;Djursland Distrikt
32;Midtjyske Distrikt
33;Hardsyssel Distrikt
34;Aggersborg Distrikt
35;Thy Distrikt
36;Vestlimfjord Distrikt
37;Nordøstjyske Distrikt
38;Østvendsyssel Distrikt
39;Vest-Vendsyssel Distrikt
40;Aalborg Distrikt
42;Korpset - direkte medlemmer
11824;Test Distrikt