DistriktsID;Distrikt;GruppeID;Gruppe
6;Hafnia Distrikt;6;Hafnia Distrikt
6;Hafnia Distrikt;1949;Filip Gruppe
6;Hafnia Distrikt;1950;Højdevang Gruppe
6;Hafnia Distrikt;1951;Kastrup Gruppe
6;Hafnia Distrikt;1952;St. Magleby-Dragør Gruppe
6;Hafnia Distrikt;1953;Tårnby Gruppe
6;Hafnia Distrikt;1954;Vestamager Gruppe
6;Hafnia Distrikt;1960;3. Frederiksberg Gruppe
6;Hafnia Distrikt;1961;Slotsgruppen
6;Hafnia Distrikt;1962;Lindevang Gruppe
6;Hafnia Distrikt;1972;BispebjergSpejderne
6;Hafnia Distrikt;1974;Husumvold Gruppe
6;Hafnia Distrikt;1975;Hyltebjerg Gruppe
6;Hafnia Distrikt;1976;Sct. Johannes Gruppe
6;Hafnia Distrikt;1977;St. Stefans Gruppe
6;Hafnia Distrikt;1978;Vigerslev Gruppe
6;Hafnia Distrikt;1985;Borggruppen
6;Hafnia Distrikt;1986;Hans Egede Gruppe
6;Hafnia Distrikt;1987;Lundehus Gruppe
6;Hafnia Distrikt;1988;Rosenvænget Gruppe
6;Hafnia Distrikt;2538;Vesterbrospejderne
6;Hafnia Distrikt;11818;Sydhavnen Spejdergruppe
6;Hafnia Distrikt;12360;KFUM-Spejderne i Luxembourg
7;Ole Rømer Distrikt;7;Ole Rømer Distrikt
7;Ole Rømer Distrikt;1963;Albertslund Gruppe
7;Ole Rømer Distrikt;1964;Strandboerne - Vallensbæk Gruppe
7;Ole Rømer Distrikt;1965;KNUDEN-Brøndby Gruppe
7;Ole Rømer Distrikt;1968;Greve Gruppe
7;Ole Rømer Distrikt;1969;Ishøj Gruppe
7;Ole Rømer Distrikt;1970;Tåstrup Gruppe
7;Ole Rømer Distrikt;1979;Avedøre Gruppe
7;Ole Rømer Distrikt;1980;Hvidovre Gruppe
7;Ole Rømer Distrikt;1981;Vigar Stamme
7;Ole Rømer Distrikt;1982;Hvidovre Syd Gruppe
7;Ole Rømer Distrikt;1983;Islev Gruppe
7;Ole Rømer Distrikt;1984;Rødovre Gruppe
7;Ole Rømer Distrikt;2009;Ballerup Gruppe
7;Ole Rømer Distrikt;2020;Østerhøj-Måløv Gruppe
8;Bornholms Distrikt;8;Bornholms Distrikt
8;Bornholms Distrikt;1955;Klemensker Gruppe
8;Bornholms Distrikt;1956;Nexø Gruppe
9;Ermelunden Distrikt;9;Ermelunden Distrikt
9;Ermelunden Distrikt;1996;Charlottenlund Gruppe
9;Ermelunden Distrikt;1997;Hellerup Gruppe
9;Ermelunden Distrikt;1998;Ordrup-Skovshoved Gruppe
9;Ermelunden Distrikt;1999;Vangede Gruppe
9;Ermelunden Distrikt;2006;2. Bagsværd Gruppe
9;Ermelunden Distrikt;2007;Buddinge Gruppe
9;Ermelunden Distrikt;2008;Søborg Gruppe
9;Ermelunden Distrikt;2010;Herlev Gruppe
9;Ermelunden Distrikt;2011;Klausdal Gruppe
9;Ermelunden Distrikt;2012;1. Bistrup Gruppe
9;Ermelunden Distrikt;2016;1. Lyngby-Lundtofte Gruppe
9;Ermelunden Distrikt;2017;3. Lyngby Gruppe
9;Ermelunden Distrikt;2018;Vedbæk-Nærum Gruppe
9;Ermelunden Distrikt;2019;Virum-Sorgenfri Gruppe
10;Hjorte Distrikt;10;Hjorte Distrikt
10;Hjorte Distrikt;1989;Frederikssund Gruppe
10;Hjorte Distrikt;1990;Halsnæs Gruppe
10;Hjorte Distrikt;1991;Jægerspris Gruppe
10;Hjorte Distrikt;1992;Skævinge Gruppe
10;Hjorte Distrikt;1993;Slangerup Gruppe
10;Hjorte Distrikt;1994;Egedal Gruppe
10;Hjorte Distrikt;2001;Esbønderup Gruppe
10;Hjorte Distrikt;2002;Espergærde Gruppe
10;Hjorte Distrikt;2003;Gilleleje Gruppe
10;Hjorte Distrikt;2004;Græsted Gruppe
10;Hjorte Distrikt;2005;Tikøb Gruppe
10;Hjorte Distrikt;2013;Hillerød Gruppe
10;Hjorte Distrikt;2014;Hørsholm Gruppe
10;Hjorte Distrikt;2015;Allerød-Lynge Gruppe
10;Hjorte Distrikt;2524;Ramløse-Annisse Gruppe
10;Hjorte Distrikt;2548;Blistrup Gruppe (2548)
11;Suså Distrikt;11;Suså Distrikt
11;Suså Distrikt;2021;Buerup Gruppe
11;Suså Distrikt;2022;Dianalund Gruppe
11;Suså Distrikt;2023;Fjenneslev Gruppe
11;Suså Distrikt;2024;Frederiksberg Gruppe
11;Suså Distrikt;2025;Høng Gruppe
11;Suså Distrikt;2026;Munke Bjergby Gruppe
11;Suså Distrikt;2062;Herlufmagle Gruppe
11;Suså Distrikt;2063;Herlufsholm Gruppe
11;Suså Distrikt;2064;Hyllinge Gruppe
11;Suså Distrikt;2066;Karrebæk Gruppe
11;Suså Distrikt;2073;Fensmark Gruppe
11;Suså Distrikt;2076;Fuglebjerg Gruppe
11;Suså Distrikt;2077;Glumsø Gruppe
11;Suså Distrikt;2078;1. Skælskør Gruppe
11;Suså Distrikt;2079;Sct. Michael Gruppe, Slagelse
11;Suså Distrikt;2080;2. Slagelse Gruppe
11;Suså Distrikt;2081;Stillinge Gruppe
11;Suså Distrikt;2082;Sørbymagle Gruppe
11;Suså Distrikt;2084;Tornemark-Sandved Gruppe
12;Lindorm Distrikt;12;Lindorm Distrikt
12;Lindorm Distrikt;2028;Engmose Gruppe
12;Lindorm Distrikt;2030;Idestrup Gruppe
12;Lindorm Distrikt;2031;Nykøbing Falster Gruppe
12;Lindorm Distrikt;2032;Toreby Gruppe
12;Lindorm Distrikt;2034;Nakskov Gruppe
12;Lindorm Distrikt;2035;Ravnsborg Gruppe
12;Lindorm Distrikt;2036;Brandstrup Gruppe
12;Lindorm Distrikt;2037;Knuthenborg Gruppe
12;Lindorm Distrikt;2528;Maribo Gruppe
12;Lindorm Distrikt;2552;Langø Gruppe
13;Sct. Georg Distrikt;13;Sct. Georg Distrikt
13;Sct. Georg Distrikt;2048;Bolund Gruppe
13;Sct. Georg Distrikt;2049;Borup Gruppe
13;Sct. Georg Distrikt;2050;Walburris Gruppe
13;Sct. Georg Distrikt;2051;Jyllinge Gruppe
13;Sct. Georg Distrikt;2052;Karlslunde Gruppe
13;Sct. Georg Distrikt;2053;Lejre Gruppe
13;Sct. Georg Distrikt;2054;Roskilde Gruppe
13;Sct. Georg Distrikt;2055;Svogerslev Gruppe
13;Sct. Georg Distrikt;2056;Tune Gruppe
13;Sct. Georg Distrikt;2057;Vindinge Gruppe
13;Sct. Georg Distrikt;2058;Sct. Jørgen/2. Roskilde Gruppe
13;Sct. Georg Distrikt;2059;Trekroner Gruppe
13;Sct. Georg Distrikt;2060;Skuldelev 2 Gruppe
14;Odsherred Distrikt;14;Odsherred Distrikt
14;Odsherred Distrikt;2038;Eskebjerg Gruppe
14;Odsherred Distrikt;2039;Holbæk Gruppe
14;Odsherred Distrikt;2040;Kr. Eskilstrup Gruppe
14;Odsherred Distrikt;2041;Nr. Asmindrup Gruppe
14;Odsherred Distrikt;2042;Raklev Gruppe
14;Odsherred Distrikt;2043;Svebølle Gruppe
14;Odsherred Distrikt;2044;Tuse Bjerg Gruppe
14;Odsherred Distrikt;2045;Nykøbing-Sjælland Gruppe
15;Valdemar Distrikt;15;Valdemar Distrikt
15;Valdemar Distrikt;2061;Hammer S. Gruppe
15;Valdemar Distrikt;2065;Kalvehave Gruppe
15;Valdemar Distrikt;2067;Vordingborg Gruppe
15;Valdemar Distrikt;2068;Lundby Gruppe
15;Valdemar Distrikt;2070;Præstø Gruppe
15;Valdemar Distrikt;2071;Toksværd Gruppe
15;Valdemar Distrikt;2072;Tybjerg Gruppe
15;Valdemar Distrikt;2074;Tappernøje Gruppe
15;Valdemar Distrikt;2085;Bjergbakke Gruppe
15;Valdemar Distrikt;2086;Ejby Gruppe
15;Valdemar Distrikt;2087;Peder Oxe - Haslev Gruppe
15;Valdemar Distrikt;2088;Peder Syv - Hellested Gruppe
15;Valdemar Distrikt;2089;Højelse gruppe
15;Valdemar Distrikt;2090;Jersie-Solrød Gruppe
15;Valdemar Distrikt;2091;Kongsted Gruppe
15;Valdemar Distrikt;2093;Havdrup Gruppe
15;Valdemar Distrikt;2094;Nordrupøster Gruppe
15;Valdemar Distrikt;2095;Sct. Bendt - Ringsted Gruppe
15;Valdemar Distrikt;2096;Stevns-Nord Gruppe
15;Valdemar Distrikt;2097;Sædder Gruppe
15;Valdemar Distrikt;2098;Sølvbæk Gruppe
15;Valdemar Distrikt;2099;Vallø Gruppe
15;Valdemar Distrikt;2100;Ølsemagle Gruppe
15;Valdemar Distrikt;2101;Rollo Gruppe
15;Valdemar Distrikt;2102;Karl af Rise Gruppe
16;Danehof Distrikt;16;Danehof Distrikt
16;Danehof Distrikt;2104;Højby Gruppe
16;Danehof Distrikt;2105;Langeskov Gruppe
16;Danehof Distrikt;2106;Nr. Lyndelse Gruppe
16;Danehof Distrikt;2108;6. Odense Gruppe
16;Danehof Distrikt;2112;Kertinge Gruppe
16;Danehof Distrikt;2125;Brahetrolleborg gruppe
16;Danehof Distrikt;2126;Broby Gruppe
16;Danehof Distrikt;2127;Gislev Gruppe
16;Danehof Distrikt;2129;Ærøspejderne
16;Danehof Distrikt;2131;Ringe Gruppe
16;Danehof Distrikt;2132;Rise Gruppe
16;Danehof Distrikt;2134;Stenstrup Gruppe
16;Danehof Distrikt;2135;Svendborg Gruppe
16;Danehof Distrikt;2136;Åkilde Gruppe
16;Danehof Distrikt;2137;Ådal-Broby Gruppe
16;Danehof Distrikt;2138;Kongshøj Gruppe
16;Danehof Distrikt;12620;Mindelund Gruppe
17;Nydam Distrikt;17;Nydam Distrikt
17;Nydam Distrikt;2139;Fynshav Gruppe
17;Nydam Distrikt;2140;Hjortspring Gruppe
17;Nydam Distrikt;2141;Kegnæs Gruppe
17;Nydam Distrikt;2142;Høruphav Gruppe
17;Nydam Distrikt;2143;Nordborg Gruppe
17;Nydam Distrikt;2144;Sønderborg Gruppe
17;Nydam Distrikt;2145;Dybbøl Gruppe
17;Nydam Distrikt;2146;Lysabild Gruppe
17;Nydam Distrikt;2164;Felsted Gruppe
17;Nydam Distrikt;2170;Holbøl Gruppe
17;Nydam Distrikt;2171;Rinkenæs Gruppe
17;Nydam Distrikt;2172;Sundeved Gruppe
17;Nydam Distrikt;2173;Urnehoved Gruppe
17;Nydam Distrikt;2175;Kruså-Kollund Gruppe
17;Nydam Distrikt;12637;Ny Nordborg Gruppe
18;Fionia Distrikt;18;Fionia Distrikt
18;Fionia Distrikt;2103;Dalum Gruppe
18;Fionia Distrikt;2107;Sct. Knuds Gruppe
18;Fionia Distrikt;2109;Tornbjerg Gruppe
18;Fionia Distrikt;2110;Bellinge Gruppe
18;Fionia Distrikt;2111;Gråbrødre/Odense Gruppe
18;Fionia Distrikt;2113;Assens Gruppe
18;Fionia Distrikt;2114;Dreslette Gruppe
18;Fionia Distrikt;2115;Middelfart Gruppe
18;Fionia Distrikt;2116;Nr. Højrup Gruppe
18;Fionia Distrikt;2117;Nr. Åby Gruppe
18;Fionia Distrikt;2118;Otterup Gruppe
18;Fionia Distrikt;2119;Søndersø Gruppe
18;Fionia Distrikt;2120;Tommerup Gruppe
18;Fionia Distrikt;2121;Verninge Gruppe
18;Fionia Distrikt;2122;Vissenbjerg Gruppe
18;Fionia Distrikt;2123;Bogense Gruppe
18;Fionia Distrikt;2124;Husby-Tanderup-Gelsted Gruppe
18;Fionia Distrikt;12440;Haarby Gruppe
19;Guldhorn Distrikt;19;Guldhorn Distrikt
19;Guldhorn Distrikt;2152;Abild Gruppe
19;Guldhorn Distrikt;2153;Ballum Gruppe
19;Guldhorn Distrikt;2154;Bedsted Lø Gruppe
19;Guldhorn Distrikt;2155;Brøns Gruppe
19;Guldhorn Distrikt;2157;Løgumkloster Gruppe
19;Guldhorn Distrikt;2158;Nr. Løgum Gruppe
19;Guldhorn Distrikt;2159;Rømø Gruppe
19;Guldhorn Distrikt;2160;Visby Gruppe
19;Guldhorn Distrikt;2161;Øster Højst Gruppe
19;Guldhorn Distrikt;2162;Tønder Gruppe
19;Guldhorn Distrikt;2169;Slogs Herred Gruppe
19;Guldhorn Distrikt;2174;Ravsted Gruppe
20;Hærulf Distrikt;20;Hærulf Distrikt
20;Hærulf Distrikt;2163;Ensted Gruppe
20;Hærulf Distrikt;2165;Hjordkær Gruppe
20;Hærulf Distrikt;2166;Løjt Kirkeby Gruppe
20;Hærulf Distrikt;2167;Rødekro Gruppe
20;Hærulf Distrikt;2168;Aabenraa Gruppe
20;Hærulf Distrikt;2176;Hertug Hans Haderslev
20;Hærulf Distrikt;2177;Immervad Gruppe
20;Hærulf Distrikt;2179;Falke-Starup Gruppe
20;Hærulf Distrikt;2180;Vojens Gruppe
20;Hærulf Distrikt;2181;Ådals-Hoptrup Gruppe
20;Hærulf Distrikt;2182;Gabøl-Nustrup Gruppe
20;Hærulf Distrikt;2206;Fjelstrup Gruppe
21;Kongeå Distrikt;21;Kongeå Distrikt
21;Kongeå Distrikt;2147;Fole Gruppe
21;Kongeå Distrikt;2149;Lintrup Gruppe
21;Kongeå Distrikt;2150;Skodborg Gruppe
21;Kongeå Distrikt;2151;Tiset/Arnum Gruppe
21;Kongeå Distrikt;2216;Brørup Gruppe
21;Kongeå Distrikt;2217;Gørding-Vejrup Gruppe
21;Kongeå Distrikt;2219;Holsted-Glejbjerg Gruppe
21;Kongeå Distrikt;2220;Lindknud Gruppe
21;Kongeå Distrikt;2222;Ribe-Hviding Gruppe
21;Kongeå Distrikt;2224;Vejrup Gruppe
21;Kongeå Distrikt;2226;Føvling Gruppe
21;Kongeå Distrikt;2228;Grimstrup-Årre Gruppe
22;Ho Bugt Distrikt;22;Ho Bugt Distrikt
22;Ho Bugt Distrikt;2208;4. Esbjerg Gruppe
22;Ho Bugt Distrikt;2209;Fanø Gruppe
22;Ho Bugt Distrikt;2210;Bryndum Gruppe
22;Ho Bugt Distrikt;2211;Kvaglund Gruppe
22;Ho Bugt Distrikt;2212;Esbjerg V Gruppe
22;Ho Bugt Distrikt;2213;Fourfeld Gruppe
22;Ho Bugt Distrikt;2214;Guldager Gruppe
22;Ho Bugt Distrikt;2227;Alslev Gruppe
22;Ho Bugt Distrikt;2230;Janderup Gruppe
22;Ho Bugt Distrikt;2231;Oksbøl Gruppe
22;Ho Bugt Distrikt;2232;Outrup Gruppe
22;Ho Bugt Distrikt;2233;Esbjerg Øst Gruppe
22;Ho Bugt Distrikt;2235;Vester Nebel Gruppe
23;Skamling Distrikt;23;Skamling Distrikt
23;Skamling Distrikt;2193;Alminde-Viuf Gruppe
23;Skamling Distrikt;2194;Bramdrup Gruppe
23;Skamling Distrikt;2195;Houens Odde Gruppe
23;Skamling Distrikt;2196;5. Kolding Gruppe
23;Skamling Distrikt;2197;Seest Gruppe
23;Skamling Distrikt;2198;Christiansfeld Gruppe
23;Skamling Distrikt;2199;Vonsild Gruppe
23;Skamling Distrikt;2200;Hjarup Gruppe
23;Skamling Distrikt;2201;Sdr. Bjert Gruppe
23;Skamling Distrikt;2202;Stepping Gruppe
23;Skamling Distrikt;2203;Vamdrup Gruppe
23;Skamling Distrikt;2204;Ødis Gruppe
23;Skamling Distrikt;2205;Sdr. Stenderup Gruppe
23;Skamling Distrikt;2207;Mariesminde Gruppe
23;Skamling Distrikt;11868;Lyshøj Gruppe
24;Hærvejens Distrikt;24;Hærvejens Distrikt
24;Hærvejens Distrikt;2184;Andst Gruppe
24;Hærvejens Distrikt;2185;Bække Gruppe
